Id;Référence;Boîtier;Quantité;Désignation;Fournisseur et réf;Pu;Chine;Prix;;;p;q;unit;
1;J1;CR2032MFRAH1;1;Conn_01x02_Female;;1,5;0,06;1,5;;12,36 /100;12,36;100;0,1236;https://fr.aliexpress.com/item/1005005027117187.html?spm=a2g0o.productlist.main.9.4a536f47QEPfYj&algo_pvid=57e9066d-d637-4736-84ce-fc625fc34c90&aem_p4p_detail=202301110114434219884251859640003378085&algo_exp_id=57e9066d-d637-4736-84ce-fc625fc34c90-4&pdp_ext_f=%7B%22sku_id%22%3A%2212000031383017642%22%7D&pdp_npi=2%40dis%21EUR%2115.45%219.27%21%21%21%21%21%402100b76616734284839031965d06ba%2112000031383017642%21sea&curPageLogUid=IKx1y1ygMDZU&ad_pvid=202301110114434219884251859640003378085_1&ad_pvid=202301110114434219884251859640003378085_1
2;D1,D2,D4,D7,D5,D6,D3;LED_D5.0mm;7;LED;;0,5;0,09;3,5;;10,89/1000;10,89;1000;0,01089;https://fr.aliexpress.com/item/1005003372427106.html?spm=a2g0o.productlist.main.5.387b7c4dybbQXb&algo_pvid=4b22977e-3a58-4d69-99bf-5285439a4aa9&algo_exp_id=4b22977e-3a58-4d69-99bf-5285439a4aa9-2&pdp_ext_f=%7B%22sku_id%22%3A%2212000025474195001%22%7D&pdp_npi=2%40dis%21EUR%2111.46%2110.89%21%21%21%21%21%402100bc5c16734282745783652d06d8%2112000025474195001%21sea&curPageLogUid=zMueimWVG8NQ
3;U1;DIP-8_W7.62mm;1;ATtiny85-20P;;2,5;1,35;2,5;;21,1 les 10;21,1;10;2,11;https://fr.aliexpress.com/item/4000059211797.html?spm=a2g0o.productlist.main.7.4d204753VxWU4P&algo_pvid=1e3d85ba-4d91-40e7-8dc0-7372d7678597&algo_exp_id=1e3d85ba-4d91-40e7-8dc0-7372d7678597-3&pdp_ext_f=%7B%22sku_id%22%3A%2210000000138837744%22%7D&pdp_npi=2%40dis%21EUR%2119.67%2118.69%21%21%21%21%21%402100baf316734281266694992d06d7%2110000000138837744%21sea&curPageLogUid=XRYS8O1QxuIy
4;SW1;LED_D5.0mm;1;SW_Push;;1;0,2;1;;9,25 /100;9,25;100;0,0925;https://fr.aliexpress.com/item/32519976787.html?spm=a2g0o.productlist.main.3.586162c3yQNDM9&algo_pvid=52c39f02-0c41-4ff3-a522-175aa537175f&algo_exp_id=52c39f02-0c41-4ff3-a522-175aa537175f-1&pdp_ext_f=%7B%22sku_id%22%3A%2257439434515%22%7D&pdp_npi=2%40dis%21EUR%219.25%219.25%21%21%21%21%21%402100ba4716734284347902339d075c%2157439434515%21sea&curPageLogUid=PMrJalJezC9F
5;Pcb;Pcb;1;;;0,63;0,63;0,63;;;;;0,63;
6;pile;2032;1;;;0,33;0,33;0,33;;;;;0,33;
7;Fil;Pla;1;;;0,3;0,3;0,3;;;;;0,3;
8;dip 8 ;;1;;;0,3;0,08;0,3;;0,46 + 1,75 /50;2,21;50;0,0442;https://fr.aliexpress.com/item/32863030799.html?spm=a2g0o.productlist.main.1.d31015729tzM2a&algo_pvid=28d67653-ad43-48b0-921b-867816e512e9&algo_exp_id=28d67653-ad43-48b0-921b-867816e512e9-0&pdp_ext_f=%7B%22sku_id%22%3A%2212000030223308293%22%7D&pdp_npi=2%40dis%21EUR%210.69%210.46%21%21%21%21%21%402100b76616734285618972524d06ba%2112000030223308293%21sea&curPageLogUid=dRQmk838r7y7
9;inter;;1;;;0,3;0,09;0,3;;2,25 0,71 /20;2,96;20;0,148;https://fr.aliexpress.com/item/1005003938856402.html?spm=a2g0o.productlist.main.29.7e1633795UKs2t&algo_pvid=94f727cc-3231-443f-acc0-6abc58a74a6d&aem_p4p_detail=20230111011750296107598715000003254802&algo_exp_id=94f727cc-3231-443f-acc0-6abc58a74a6d-14&pdp_ext_f=%7B%22sku_id%22%3A%2212000027515454290%22%7D&pdp_npi=2%40dis%21EUR%214.5%212.25%21%21%21%21%21%402100b0d116734286699963845d0714%2112000027515454290%21sea&curPageLogUid=Ez4WKHrbyaR3&ad_pvid=20230111011750296107598715000003254802_3&ad_pvid=20230111011750296107598715000003254802_3
;;;;;;;;;;;;;;
;;;;;;;3,13;12,43;;;58,77;;3,78919;
